Date,Open,High,Low,Close
16 October 2016,"?31,407","?31,593","?31,379","?31,568"
17 October 2016,"?31,673","?31,678","?31,546","?31,596"
18 October 2016,"?31,757","?31,810","?31,702","?31,751"
19 October 2016,"?31,725","?31,740","?31,361","?31,388"
20 October 2016,"?31,535","?31,728","?31,533","?31,646"
21 October 2016,"?31,685","?31,757","?31,552","?31,730"
22 October 2016,"?31,769","?31,944","?31,707","?31,892"
23 October 2016,"?31,932","?31,932","?31,560","?31,702"
24 October 2016,"?31,755","?31,863","?31,674","?31,810"
25 October 2016,"?31,714","?31,728","?31,587","?31,662"
26 October 2016,"?31,739","?31,815","?31,620","?31,663"
27 October 2016,"?31,694","?31,764","?31,619","?31,688"
28 October 2016,"?31,798","?31,953","?31,798","?31,882"
29 October 2016,"?32,029","?32,172","?31,950","?32,159"
30 October 2016,"?32,189","?32,348","?32,127","?32,186"
31 October 2016,"?32,289","?32,329","?32,187","?32,242"
01 November 2016,"?32,208","?32,356","?32,138","?32,273"
02 November 2016,"?32,361","?32,508","?32,361","?32,424"
03 November 2016,"?32,522","?32,524","?32,359","?32,402"
04 November 2016,"?32,467","?32,500","?32,384","?32,401"
05 November 2016,"?32,406","?32,463","?32,164","?32,370"
06 November 2016,"?32,340","?32,343","?31,886","?31,922"
07 November 2016,"?31,986","?32,017","?31,475","?31,627"
08 November 2016,"?31,686","?31,694","?31,456","?31,600"
09 November 2016,"?31,785","?31,797","?31,101","?31,160"
10 November 2016,"?31,216","?31,341","?31,082","?31,282"
11 November 2016,"?31,367","?31,524","?31,244","?31,284"
12 November 2016,"?31,538","?31,615","?31,440","?31,497"
13 November 2016,"?31,522","?31,752","?31,458","?31,672"
14 November 2016,"?31,726","?31,772","?31,562","?31,592"
15 November 2016,"?31,633","?31,844","?31,633","?31,814"
16 November 2016,"?31,862","?31,936","?31,782","?31,847"
17 November 2016,"?31,911","?31,995","?31,897","?31,924"
18 November 2016,"?31,976","?32,098","?31,769","?31,834"
19 November 2016,"?31,887","?32,209","?31,814","?32,182"
20 November 2016,"?32,248","?32,509","?32,248","?32,433"
21 November 2016,"?32,488","?32,687","?32,445","?32,634"
22 November 2016,"?32,654","?32,700","?32,557","?32,609"
23 November 2016,"?32,519","?32,670","?32,463","?32,584"
24 November 2016,"?32,657","?32,663","?32,319","?32,390"
25 November 2016,"?32,412","?32,615","?32,313","?32,507"
26 November 2016,"?32,619","?32,670","?32,502","?32,607"
27 November 2016,"?32,995","?33,117","?32,805","?33,043"
28 November 2016,"?33,025","?33,196","?32,835","?33,147"
29 November 2016,"?33,228","?33,287","?33,109","?33,157"
30 November 2016,"?33,260","?33,340","?33,207","?33,266"
01 December 2016,"?33,255","?33,294","?33,164","?33,213"
02 December 2016,"?33,344","?33,652","?33,341","?33,600"
03 December 2016,"?33,616","?33,658","?33,527","?33,573"
04 December 2016,"?33,667","?33,734","?33,532","?33,686"
05 December 2016,"?33,710","?33,848","?33,582","?33,731"
06 December 2016,"?33,781","?33,866","?33,342","?33,371"
07 December 2016,"?33,417","?33,485","?33,158","?33,219"
08 December 2016,"?33,377","?33,464","?33,112","?33,251"
09 December 2016,"?33,236","?33,380","?33,108","?33,315"
10 December 2016,"?33,397","?33,417","?33,000","?33,034"
11 December 2016,"?32,990","?33,127","?32,907","?32,942"
12 December 2016,"?32,945","?32,945","?32,684","?32,760"
13 December 2016,"?32,830","?33,165","?32,830","?33,107"
14 December 2016,"?33,388","?33,521","?33,279","?33,343"
